,零件A1,零件A2,零件B1,零件B2,零件C1,零件C2.1,零件C2.2,零件D1.1,零件D1.2,零件E1.1,零件E1.2,零件D2.1,零件D2.2,零件E2.1,零件E2.2,零件F,零件H,零件G,零件I1,零件I2,零件J1,零件J2,零件K1.1,零件K1.2,零件K2.1,零件K2.2,零件K3.1,零件K3.2,零件L1,零件L2,零件M1,零件M2
第1班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第2班,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,954,1308,1580,682,1580,682,272,272,682,682,1308,1308,1580,682,954,1308
第3班,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,0,716,716,0,716,0,0,0,0,0,716,716,716,0,0,716
第4班,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,0,1180,1180,0,1180,0,0,0,0,0,1180,1180,1180,0,0,1180
第5班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第6班,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,736,1326,1326,736,1326,736,0,0,736,736,1326,1326,1326,736,736,1326
第7班,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,306,1234,1540,0,1540,0,306,306,0,0,1234,1234,1540,0,306,1234
第8班,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,0,0,716,0,716,0,0,716,716,0,0,0,716,716,0
第9班,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,2042,1234,1234,2042,1234,2042,0,0,2042,2042,1234,1234,1234,2042,2042,1234
第10班,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,988,0,988,988,0,988,0,0,0,0,0,988,988,988,0,0,988
第11班,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,2086,0,2086,2086,0,2086,0,0,0,0,0,2086,2086,2086,0,0,2086
第12班,3774,3774,3774,3774,3774,3774,3774,3774,3774,3774,3774,3774,3774,3774,3774,3774,0,3774,3774,0,3774,0,0,0,0,0,3774,3774,3774,0,0,3774
第13班,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,0,3040,3040,0,3040,0,0,0,0,0,3040,3040,3040,0,0,3040
第14班,3068,3068,3068,3068,3068,3068,3068,3068,3068,3068,3068,3068,3068,3068,3068,3068,1796,1272,2080,988,2080,988,808,808,988,988,1272,1272,2080,988,1796,1272
第15班,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,682,2188,2188,682,2188,682,0,0,682,682,2188,2188,2188,682,682,2188
第16班,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,0,1490,1490,0,1490,0,0,0,0,0,1490,1490,1490,0,0,1490
第17班,2834,2834,2834,2834,2834,2834,2834,2834,2834,2834,2834,2834,2834,2834,2834,2834,1688,1146,1146,1688,1146,1688,0,0,1688,1688,1146,1146,1146,1688,1688,1146
第18班,2856,2856,2856,2856,2856,2856,2856,2856,2856,2856,2856,2856,2856,2856,2856,2856,306,2550,2550,306,2550,306,0,0,306,306,2550,2550,2550,306,306,2550
第19班,3662,3662,3662,3662,3662,3662,3662,3662,3662,3662,3662,3662,3662,3662,3662,3662,2226,1436,2244,1418,2244,1418,808,808,1418,1418,1436,1436,2244,1418,2226,1436
第20班,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,4666,3432,1234,1916,2750,1916,2750,682,682,2750,2750,1234,1234,1916,2750,3432,1234
第21班,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,1490,1254,2226,518,2226,518,972,972,518,518,1254,1254,2226,518,1490,1254
第22班,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,306,1244,1550,0,1550,0,306,306,0,0,1244,1244,1550,0,306,1244
第23班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第24班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第25班,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
合计,47380,47380,47380,47380,47380,47380,47380,47380,47380,47380,47380,47380,47380,47380,47380,47380,16680,30700,34854,12526,34854,12526,4154,4154,12526,12526,30700,30700,34854,12526,16680,30700
