,零件A1,零件A2,零件B1,零件B2,零件C1,零件C2.1,零件C2.2,零件D1.1,零件D1.2,零件E1.1,零件E1.2,零件D2.1,零件D2.2,零件E2.1,零件E2.2,零件F,零件H,零件G,零件I1,零件I2,零件J1,零件J2,零件K1.1,零件K1.2,零件K2.1,零件K2.2,零件K3.1,零件K3.2,零件L1,零件L2,零件M1,零件M2
第1班,3000.0,3000.0,3360.0,3360.0,0.0,4100.0,4100.0,4980.0,4980.0,4980.0,4980.0,4900.0,4900.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,4860.0,4860.0,4200.0,4200.0,3300.0,3300.0,4900.0,4900.0,0.0,0.0,0.0,0.0
第2班,3000.0,3000.0,4980.0,4980.0,0.0,4350.0,4350.0,4980.0,4980.0,4440.0,4440.0,4984.0,4984.0,4900.0,4900.0,0.0,0.0,0.0,0.0,0.0,4980.0,4980.0,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0,3025.0,0.0,0.0
第3班,3000.0,3000.0,4320.0,4320.0,0.0,5000.0,5000.0,4980.0,4980.0,4020.0,4020.0,4900.0,4900.0,3780.0,3780.0,0.0,0.0,0.0,0.0,0.0,3840.0,3840.0,0.0,0.0,0.0,0.0,3600.0,3600.0,0.0,0.0,0.0,0.0
第4班,4980.0,4980.0,4920.0,4920.0,0.0,3950.0,3950.0,4980.0,4980.0,4560.0,4560.0,4900.0,4900.0,3780.0,3780.0,0.0,0.0,0.0,0.0,0.0,4410.0,4410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
第5班,3060.0,3060.0,4560.0,4560.0,0.0,5000.0,5000.0,4980.0,4980.0,4980.0,4980.0,4984.0,4984.0,3360.0,3360.0,0.0,0.0,0.0,0.0,0.0,3990.0,3990.0,0.0,0.0,0.0,0.0,3000.0,3000.0,0.0,0.0,0.0,0.0
第6班,4980.0,4980.0,4980.0,4980.0,0.0,5000.0,5000.0,4980.0,4980.0,4980.0,4980.0,4984.0,4984.0,4760.0,4760.0,0.0,0.0,0.0,0.0,0.0,4830.0,4830.0,0.0,0.0,3100.0,3100.0,0.0,0.0,0.0,0.0,3000.0,0.0
第7班,3300.0,3300.0,4980.0,4980.0,0.0,5000.0,5000.0,4980.0,4980.0,3780.0,3780.0,4984.0,4984.0,3080.0,3080.0,0.0,0.0,0.0,0.0,0.0,3270.0,3270.0,0.0,0.0,0.0,0.0,3100.0,3100.0,0.0,0.0,0.0,0.0
第8班,3960.0,3960.0,0.0,0.0,0.0,0.0,0.0,4980.0,4980.0,4980.0,4980.0,4984.0,4984.0,3360.0,3360.0,0.0,0.0,0.0,4606.0,0.0,4680.0,4680.0,0.0,0.0,0.0,0.0,3900.0,3900.0,0.0,3190.0,0.0,3120.0
第9班,0.0,0.0,3150.0,3150.0,0.0,5000.0,5000.0,4560.0,4560.0,0.0,0.0,4760.0,4760.0,3640.0,3640.0,3010.0,0.0,0.0,0.0,4270.0,0.0,0.0,0.0,0.0,3200.0,3200.0,0.0,0.0,0.0,0.0,0.0,4410.0
第10班,3780.0,3780.0,0.0,0.0,3200.0,0.0,0.0,3000.0,3000.0,4680.0,4680.0,3024.0,3024.0,3948.0,3948.0,4872.0,0.0,3885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4170.0,0.0
第11班,3000.0,3000.0,4410.0,4410.0,4960.0,0.0,0.0,0.0,0.0,3000.0,3000.0,0.0,0.0,3192.0,3192.0,4998.0,0.0,3675.0,4970.0,4970.0,0.0,0.0,0.0,0.0,3000.0,3000.0,0.0,0.0,3025.0,0.0,0.0,0.0
第12班,3000.0,3000.0,3750.0,3750.0,4720.0,5000.0,5000.0,0.0,0.0,3000.0,3000.0,0.0,0.0,3052.0,3052.0,4998.0,0.0,4230.0,3920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4950.0,0.0,0.0,4980.0
第13班,3360.0,3360.0,3990.0,3990.0,4960.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,3052.0,3052.0,4998.0,3810.0,4185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,3600.0,4895.0,0.0,3000.0,3150.0
第14班,4980.0,4980.0,0.0,0.0,4960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4998.0,0.0,0.0,4270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,3600.0,4510.0,3300.0,0.0,0.0
第15班,0.0,0.0,0.0,0.0,4960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4998.0,3225.0,4995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3080.0,0.0,0.0,4380.0
第16班,0.0,0.0,0.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4998.0,0.0,4755.0,0.0,3290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3025.0,0.0,0.0,3090.0
第17班,0.0,0.0,0.0,0.0,4960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4998.0,3000.0,4980.0,3710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3510.0,0.0
