,零件C1,零件C2.1,零件C2.2,零件D1.1,零件D1.2,零件D2.1,零件D2.2,零件H,零件G,零件I1,零件I2,零件J1,零件J2,零件K1.1,零件K1.2,零件L1,零件L2,零件M1,零件M2
第1班,0.0,4100.0,4100.0,4980.0,4980.0,4900.0,4900.0,0.0,0.0,0.0,0.0,4860.0,4860.0,4200.0,4200.0,0.0,0.0,0.0,0.0
第2班,0.0,4350.0,4350.0,4980.0,4980.0,4984.0,4984.0,0.0,0.0,0.0,0.0,4980.0,4980.0,0.0,0.0,0.0,3025.0,0.0,0.0
第3班,0.0,5000.0,5000.0,4980.0,4980.0,4900.0,4900.0,0.0,0.0,0.0,0.0,3840.0,3840.0,0.0,0.0,0.0,0.0,0.0,0.0
第4班,0.0,3950.0,3950.0,4980.0,4980.0,4900.0,4900.0,0.0,0.0,0.0,0.0,4410.0,4410.0,0.0,0.0,0.0,0.0,0.0,0.0
第5班,0.0,5000.0,5000.0,4980.0,4980.0,4984.0,4984.0,0.0,0.0,0.0,0.0,3990.0,3990.0,0.0,0.0,0.0,0.0,0.0,0.0
第6班,0.0,5000.0,5000.0,4980.0,4980.0,4984.0,4984.0,0.0,0.0,0.0,0.0,4830.0,4830.0,0.0,0.0,0.0,0.0,3000.0,0.0
第7班,0.0,5000.0,5000.0,4980.0,4980.0,4984.0,4984.0,0.0,0.0,0.0,0.0,3270.0,3270.0,0.0,0.0,0.0,0.0,0.0,0.0
第8班,0.0,0.0,0.0,4980.0,4980.0,4984.0,4984.0,0.0,0.0,4606.0,0.0,0.0,0.0,0.0,0.0,0.0,3190.0,0.0,3120.0
第9班,0.0,0.0,0.0,4560.0,4560.0,4760.0,4760.0,0.0,0.0,0.0,4270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4410.0
第10班,3200.0,0.0,0.0,3000.0,3000.0,3024.0,3024.0,0.0,3885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4170.0,0.0
第11班,4960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3675.0,4970.0,4970.0,0.0,0.0,0.0,0.0,3025.0,0.0,0.0,0.0
第12班,4720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,3920.0,0.0,0.0,0.0,0.0,0.0,4950.0,0.0,0.0,4980.0
第13班,4960.0,0.0,0.0,0.0,0.0,0.0,0.0,3810.0,4185.0,0.0,0.0,0.0,0.0,0.0,0.0,4895.0,0.0,3000.0,3150.0
第14班,4960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4270.0,0.0,0.0,0.0,0.0,0.0,4510.0,3300.0,0.0,0.0
第15班,4960.0,0.0,0.0,0.0,0.0,0.0,0.0,3225.0,4995.0,0.0,0.0,0.0,0.0,0.0,0.0,3080.0,0.0,0.0,4380.0
第16班,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4755.0,0.0,3290.0,0.0,0.0,0.0,0.0,3025.0,0.0,0.0,3090.0
第17班,4960.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,4980.0,3710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3510.0,0.0
第18班,4960.0,0.0,0.0,0.0,0.0,0.0,0.0,3090.0,0.0,3920.0,0.0,0.0,0.0,0.0,0.0,3905.0,3025.0,0.0,3900.0
第19班,4960.0,0.0,0.0,0.0,0.0,0.0,0.0,3555.0,0.0,4760.0,0.0,0.0,0.0,0.0,0.0,3795.0,0.0,3000.0,3690.0
第20班,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4704.0,0.0,0.0,0.0,0.0,0.0,3685.0,0.0,0.0,0.0
第21班,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
第22班,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
第23班,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
第24班,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
第25班,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
