process,workcenter,cap,intervalTime,numRate,product
1,3,26,37,1,1
2,9,28,34,1,1
3,5,49,58,1,1
4,5,40,9,1,1
5,9,38,14,1,1
6,3,32,29,1,1
7,8,56,55,1,1
8,9,60,37,1,1
1,3,37,29,1,2
2,3,41,20,1,2
3,4,46,41,1,2
4,8,36,53,1,2
5,10,46,7,1,2
6,5,35,6,1,2
7,7,16,20,1,2
8,9,21,28,1,2
9,7,33,57,1,2
10,10,46,13,1,2
11,8,50,27,1,2
12,5,39,21,1,2
13,5,43,16,1,2
1,3,26,49,1,3
2,9,56,32,1,3
3,5,56,47,1,3
4,5,21,17,1,3
5,9,41,20,1,3
6,8,47,58,1,3
7,9,23,31,1,3
1,3,35,51,1,4
2,3,56,56,1,4
3,4,34,29,1,4
4,5,52,9,1,4
5,7,46,13,1,4
6,9,16,16,1,4
7,1,35,0,1,4
8,4,24,27,1,4
9,5,40,38,1,4
10,5,54,19,1,4
1,3,28,15,1,5
2,9,59,5,1,5
3,8,40,15,1,5
4,5,16,3,1,5
5,7,20,20,1,5
6,9,56,18,1,5
7,4,51,18,1,5
1,3,57,7,1,6
2,4,53,4,1,6
3,9,45,18,1,6
4,8,60,26,1,6
5,5,28,49,1,6
6,8,46,46,1,6
7,9,58,36,1,6
8,10,20,59,1,6
9,2,20,14,1,6
10,5,17,23,1,6
1,3,23,29,1,7
2,2,54,2,1,7
3,3,48,13,1,7
4,4,32,51,1,7
5,5,60,21,1,7
6,7,55,0,1,7
7,9,43,44,1,7
8,5,13,35,1,7
9,2,43,47,1,7
10,4,40,1,1,7
11,5,23,14,1,7
12,4,31,41,1,7
1,3,40,6,1,8
2,3,30,56,1,8
3,4,28,17,1,8
4,8,38,45,1,8
5,2,54,38,1,8
6,5,18,45,1,8
7,7,53,35,1,8
8,9,39,0,1,8
9,1,45,24,1,8
10,5,52,57,1,8
11,5,60,36,1,8
12,4,54,12,1,8
1,3,25,48,1,9
2,3,37,55,1,9
3,4,53,55,1,9
4,2,59,10,1,9
5,5,47,57,1,9
6,7,13,21,1,9
7,9,44,19,1,9
8,5,30,19,1,9
9,5,55,31,1,9
1,3,56,53,1,10
2,3,19,29,1,10
3,4,59,54,1,10
4,5,53,9,1,10
5,7,40,32,1,10
6,9,14,50,1,10
7,4,17,7,1,10
8,5,30,15,1,10
9,5,23,31,1,10
1,3,29,0,1,11
2,3,17,4,1,11
3,4,46,37,1,11
4,2,42,15,1,11
5,5,29,2,1,11
6,7,27,38,1,11
7,9,43,39,1,11
